ano,dep,link,quantidade,recolhidas,valor
2015,ADAO ROBERTO RODRIGUES VILLAVERDE,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/3390/ano/2015/tipo/0/Default.aspx,44.5,0.0,29076.35
2015,ADILSON TROCA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2511/ano/2015/tipo/0/Default.aspx,4.0,0.0,2433.54
2015,ADOLFO JOSE BRITO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2513/ano/2015/tipo/0/Default.aspx,62.0,0.0,38771.66
2015,ALEXANDRE POSTAL,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2515/ano/2015/tipo/0/Default.aspx,34.5,0.0,25004.69
2015,ALOISIO TALSO CLASSMANN,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2516/ano/2015/tipo/0/Default.aspx,64.0,0.0,42507.22
2015,ALTEMIR ANTONIO TORTELLI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14456/ano/2015/tipo/0/Default.aspx,23.0,0.0,14061.83
2015,ALVARO DAVI BOESSIO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/10220/ano/2015/tipo/0/Default.aspx,27.0,0.0,18160.36
2015,ANA INES AFFONSO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14470/ano/2015/tipo/0/Default.aspx,4.0,0.0,2049.47
2015,ANTONIO CARLOS GOMES DA SILVA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/11411/ano/2015/tipo/0/Default.aspx,1.5,0.0,884.22
2015,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14455/ano/2015/tipo/0/Default.aspx,18.5,0.0,11985.69
