cidade,cnpj,data,requisicao,valor
BRASILIA,08.627.890/0001-78,2015-02-02,81087,115.58
TAQUARI,88.176.490/0001-22  ,2015-02-14,81226,99.5
BENTO GONCALVES,89.340.913/0001-60  ,2015-02-21,81332,159.65
BRASILIA,37.069.853/0002-70,2015-03-05,81575,91.3
FARROUPILHA,89.848.790/0001-73,2015-03-13,81770,8.5
TAQUARI,90.363.870/0001-18  ,2015-03-17,81888,25.0
VENANCIO AIRES,91.369.694/0001-94  ,2015-03-24,82094,8.8
AGUDO,04.875.808/0001-73,2015-03-24,82094,52.0
PASSO FUNDO,01.925.530/0001-03  ,2015-03-27,82168,16.5
ERECHIM,09.399.113/0001-86,2015-03-28,82168,121.5
ANTONIO PRADO,03.823.129/0001-98  ,2015-04-07,82380,110.01
PAVERAMA,08.215.269/0001-05,2015-04-09,82448,19.0
SANTA MARIA,87.676.185/0002-18,2015-04-10,82448,140.0
PANTANO GRANDE,01.324.812/0001-55  ,2015-04-16,82689,128.8
SAO GABRIEL,88.231.931/0001-41  ,2015-04-17,82689,101.0
GRAMADO,08.646.295/0001-80,2015-05-02,82989,140.0
GRAMADO,05.257.702/0001-79,2015-05-16,83310,70.0
PAVERAMA,08.215.269/0001-05,2015-06-10,83968,24.25
BRASILIA,00.679.605/0001-50,2015-06-18,84179,22.0
TAQUARI,93.408.169/0001-66,2015-07-10,84652,19.9
ANTONIO PRADO,92.285.212/0001-80,2015-07-15,84731,30.0
SAO LOURENCO DO SUL,97.005.581/0003-58  ,2015-07-16,84781,39.5
CRISTAL,03.007.458/0001-60  ,2015-07-16,84781,9.25
GRAMADO,08.646.295/0001-80,2015-07-17,84784,45.0
ERECHIM,09.399.113/0001-86,2015-07-24,84963,135.0
ALEGRETE,01.698.079/0001-39  ,2015-07-30,85098,42.5
ALEGRETE,94.177.201/0001-02,2015-07-31,85098,90.0
SAO GABRIEL,88.231.931/0001-41  ,2015-08-01,85098,74.0
BOM RETIRO DO SUL,08.933.366/0001-25,2015-08-12,85246,12.0
TAQUARI,17.492.607/0001-39,2015-08-16,85528,60.0
ANTONIO PRADO,03.625.490/0001-00  ,2015-08-27,85591,41.0
TAQUARI,93.408.169/0001-66,2015-09-18,86081,17.3
GRAMADO,08.646.295/0001-80,2015-09-24,86228,22.5
BENTO GONCALVES,89.340.913/0001-60  ,2015-09-26,86236,220.42
SANTA CRUZ DO SUL,89.193.973/0001-06  ,2015-09-27,86245,15.25
BRASILIA,02.169.338/0001-05,2015-10-05,86353,150.0
SAO VENDELINO,06.699.072/0001-55,2015-10-14,86595,26.26
ANTONIO PRADO,03.823.129/0001-98  ,2015-10-16,86688,88.71
CAMAQUA,05.361.110/0001-00,2015-10-17,86693,20.0
ALEGRETE,94.177.201/0001-02,2015-10-23,86853,65.0
SANTA CRUZ DO SUL,92.381.466/0001-00,2015-10-27,86928,193.0
SANTANA DO LIVRAMENTO,03.258.062/0001-96  ,2015-10-29,87037,97.0
ALEGRETE,94.177.201/0001-02,2015-10-30,87037,70.0
GRAMADO,02.404.893/0001-66,2015-11-13,87332,20.0
IMBE,94.691.060/0001-41,2015-11-14,87336,167.0
SAO PAULO,05.757.130/0001-97,2015-12-03,87884,179.74
SAO PAULO,43.828.581/0001-67,2015-12-04,87884,240.45
SAO PAULO,17.314.329/0005-53,2015-12-04,87884,114.18
TAQUARI,90.363.870/0001-18  ,2015-12-05,87885,15.0
TAQUARI,93.408.169/0001-66,2015-12-06,87886,16.8
AGUDO,04.875.808/0001-73,2015-12-06,87886,38.0
AGUDO,04.875.808/0001-73,2015-12-06,87886,15.0
SANTA CRUZ DO SUL,17.425.040/0001-88,2015-12-11,87982,11.5
