destino,ida,numpassagens,qtdiarias,requisicao,solicitante,valor,valtotal,volta
BRASILIA - DF,2015-02-02,2,0.5,81087,ADAO ROBERTO RODRIGUES VILLAVERDE,294.74,115.58,2015-02-02
BRASILIA - DF,2015-03-05,2,0.5,81575,ADAO ROBERTO RODRIGUES VILLAVERDE,372.39,91.3,2015-03-05
RIO DE JANEIRO - RJ,2015-03-19,2,1.5,81963,ADAO ROBERTO RODRIGUES VILLAVERDE,1117.16,0.0,2015-03-20
RIO DE JANEIRO - RJ,2015-05-14,2,1.5,83276,ADAO ROBERTO RODRIGUES VILLAVERDE,1117.16,0.0,2015-05-15
BRASILIA - DF,2015-06-17,3,1.5,84179,ADAO ROBERTO RODRIGUES VILLAVERDE,1117.16,22.0,2015-06-18
RIO DE JANEIRO - RJ,2015-07-12,2,1.5,84644,ADAO ROBERTO RODRIGUES VILLAVERDE,1117.16,0.0,2015-07-13
FLORIANOPOLIS - SC,2015-08-31,2,0.5,85636,ADAO ROBERTO RODRIGUES VILLAVERDE,372.39,0.0,2015-08-31
BRASILIA - DF,2015-10-05,2,0.5,86353,ADAO ROBERTO RODRIGUES VILLAVERDE,372.39,150.0,2015-10-05
SAO PAULO - SP,2015-12-03,2,1.0,87884,ADAO ROBERTO RODRIGUES VILLAVERDE,744.77,534.37,2015-12-04
BRASILIA - DF,2015-05-26,0,0.5,83575,ADILSON TROCA,372.39,51.0,2015-05-26
BRASILIA - DF,2015-03-02,3,2.5,81570,ADOLFO JOSE BRITO,1861.93,0.0,2015-03-04
BRASILIA - DF,2015-05-26,3,2.5,83622,ADOLFO JOSE BRITO,1861.93,0.0,2015-05-28
VITORIA - ES,2015-06-10,2,3.5,83913,ADOLFO JOSE BRITO,2606.7,0.0,2015-06-13
BRASILIA - DF,2015-07-07,3,1.5,84495,ADOLFO JOSE BRITO,1117.16,182.72,2015-07-08
BRASILIA - DF,2015-08-26,2,1.5,85540,ADOLFO JOSE BRITO,1117.16,0.0,2015-08-27
BRASILIA - DF,2015-09-01,2,1.0,85840,ADOLFO JOSE BRITO,744.77,0.0,2015-09-02
BRASILIA - DF,2015-09-14,2,1.0,85996,ADOLFO JOSE BRITO,744.77,0.0,2015-09-15
BRASILIA - DF,2015-10-27,3,1.0,87072,ADOLFO JOSE BRITO,744.77,0.0,2015-10-28
