destino,distancia,ida,numpassagens,qtdiarias,requisicao,solicitante,valor,volta
Mendoza - ARGENTINA,3396.9324382746026,2015-05-31,3,4.5,83985,ADAO ROBERTO RODRIGUES VILLAVERDE,4195.26,2015-06-04
"Seattle - ESTADOS UNIDOS DA AMERICA,  Washington - ESTADOS UNIDOS DA AMERICA,  Vancouver - CANADA",26214.255262264127,2015-07-31,3,5.5,84848,ALEXANDRE POSTAL,7381.219999999998,2015-08-05
Paris - FRANCA,20508.859278796328,2015-05-22,3,6.5,83254,ALOISIO TALSO CLASSMANN,8874.84,2015-05-28
"Atlanta - ESTADOS UNIDOS DA AMERICA,  Denver - ESTADOS UNIDOS DA AMERICA",17439.527982254232,2015-04-17,6,8.5,82809,CIRO CARLOS EMERIM SIMONI,9838.58,2015-04-25
"Detroit - ESTADOS UNIDOS DA AMERICA, Seattle - ESTADOS UNIDOS DA AMERICA",8682.51246911746,2015-07-31,3,1.5,85182,CIRO CARLOS EMERIM SIMONI,2089.2,2015-08-01
"Detroit - ESTADOS UNIDOS DA AMERICA, Seattle - ESTADOS UNIDOS DA AMERICA, vancouver - CANADA",15720.611768949886,2015-08-02,3,7.5,85188*,CIRO CARLOS EMERIM SIMONI,5585.78,2015-08-09
La Serena - CHILE,3852.5032895186546,2015-11-25,6,3.0,87629*,CIRO CARLOS EMERIM SIMONI,2234.31,2015-11-28
MONTEVIDEO - URUGUAI,1428.1839660559774,2015-04-23,2,1.5,82821,FREDERICO CANTORI ANTUNES,1302.17,2015-04-24
PARIS - FRANCA,20508.859278796328,2015-05-22,1,6.5,83262,FREDERICO CANTORI ANTUNES,8874.84,2015-05-28
MONTEVIDEO - URUGUAI,1428.1839660559774,2015-07-20,2,2.5,84818,FREDERICO CANTORI ANTUNES,2463.3,2015-07-22
"PARIS - FRANCA, PARIS - FRANCA, PARIS - FRANCA",0.0,2015-11-15,0,0.0,87109,FREDERICO CANTORI ANTUNES,0.0,2015-11-19
"PARIS - FRANCA,  ERLANGEN - ALEMANHA",21026.594381930427,2015-05-22,2,6.5,83226,GABRIEL VIEIRA DE SOUZA,8897.72,2015-05-28
BUENOS AIRES - ARGENTINA,1693.1524968020474,2015-08-26,2,2.0,85707,GILBERTO CAPOANI,2278.8,2015-08-28
Santa Cruz de La Sierra - BOLIVIA.,3644.9199609250013,2015-07-05,4,5.5,84517,JOAO EDEGAR PRETTO,5262.02,2015-07-10
"XANGAI - CHINA, KUNSHAN - CHINA, NANJING - CHINA",19358.005569230074,2015-05-16,4,4.5,83063,JOAO ERVINO FISCHER,6145.74,2015-05-20
"XUZHOU - CHINA,  SHANGAI - CHINA,  HONG KONG - CHINA,  NANJING - CHINA",21507.818259760967,2015-05-21,3,6.5,83060*,JOAO ERVINO FISCHER,4841.01,2015-05-27
HANNOVER - ALEMANHA,10901.853576107067,2015-06-05,3,5.5,83712,JOAO ERVINO FISCHER,7696.92,2015-06-10
MUNICH - ALEMANHA,11190.348226956092,2015-06-11,3,3.5,83714*,JOAO ERVINO FISCHER,2606.7,2015-06-14
LA SERENA - CHILE,3852.5032895186546,2015-11-25,6,3.0,87247*,JOAO ERVINO FISCHER,2234.31,2015-11-28
Edimburgo - GREAT BRITAIN.,21170.78269973772,2015-05-23,5,7.5,82496,JOÃO OTÁVIO REINELLI,9882.9,2015-05-30
"LISBOA - PORTUGAL, LISBOA - PORTUGAL, PARIS - FRANCA",8800.494803099738,2015-12-03,2,2.5,87444,JOÃO OTÁVIO REINELLI,3962.9,2015-12-06
"PARIS - FRANCA, PARIS - FRANCA, LISBOA - PORTUGAL",8800.494803099738,2015-12-07,4,5.5,87445*,JOÃO OTÁVIO REINELLI,4096.24,2015-12-12
"Paris - FRANCA,  Erlangen - ALEMANHA",21026.594381930427,2015-05-22,4,6.5,83272,JORGE CLADISTONE POZZOBOM,8879.52,2015-05-28
"Denver - ESTADOS UNIDOS DA AMERICA,  Atlanta - ESTADOS UNIDOS DA AMERICA",17439.527982254232,2015-04-17,0,8.5,83097,JOSE ANTONIO JUNIOR FROZZA PALADINI,10257.46,2015-04-25
RIVERA - URUGUAI,424.20301843235336,2015-11-27,0,0.5,87837*,LUIS AUGUSTO BARCELLOS LARA,372.39,2015-11-27
Montevideo - URUGUAI,1428.1839660559774,2015-12-13,0,3.0,88000,LUIS AUGUSTO BARCELLOS LARA,3503.07,2015-12-16
Paris - FRANCA,20508.859278796328,2015-05-22,1,6.5,83214,LUIZ FERNANDO MAINARDI,8897.72,2015-05-28
PARIS - FRANCA,0.0,2015-11-15,0,0.0,87079,LUIZ FERNANDO MAINARDI,0.0,2015-11-19
PARIS - FRANCA,0.0,2015-11-20,0,0.0,87182*,LUIZ FERNANDO MAINARDI,0.0,2015-11-20
"Lisboa - PORTUGAL,  Milão - ITALIA",19171.784774891843,2015-10-11,4,9.0,86268,MÁRIO JARDEL ALMEIDA RIBEIRO,15774.84,2015-10-20
