date,dep,depid,exptype,price
2015-02-01,vilmarzanchin,431,Combustível,1093.26
2015-02-01,vilmarzanchin,431,Copias,121.0
2015-02-01,vilmarzanchin,431,Indenização por Uso de Veículo Particular em Serviço,3294.78
2015-02-01,vilmarzanchin,431,Materiais Expediente,185.4
2015-02-01,vilmarzanchin,431,Outros Materiais e Serviços,261.72
2015-03-01,vilmarzanchin,431,Combustível,2291.28
2015-03-01,vilmarzanchin,431,Copias,181.5
2015-03-01,vilmarzanchin,431,Encardenações,12.68
2015-03-01,vilmarzanchin,431,Indenização por Uso de Veículo Particular em Serviço,6381.3
2015-03-01,vilmarzanchin,431,Materiais Expediente,41.49
2015-03-01,vilmarzanchin,431,Outros Materiais e Serviços,815.1
2015-03-01,vilmarzanchin,431,Postagens,7.8
2015-03-01,vilmarzanchin,431,Sedex,18.08
2015-03-01,vilmarzanchin,431,Telefones,26.43
2015-04-01,vilmarzanchin,431,Combustível,2240.58
2015-04-01,vilmarzanchin,431,Copias,726.0
2015-04-01,vilmarzanchin,431,Indenização por Uso de Veículo Particular em Serviço,6615.37
2015-04-01,vilmarzanchin,431,Materiais Expediente,388.08
2015-04-01,vilmarzanchin,431,Passagens Aereas,15124.77
2015-04-01,vilmarzanchin,431,Postagens,20.95
2015-04-01,vilmarzanchin,431,Telefones,873.23
2015-05-01,vilmarzanchin,431,Combustível,2440.44
2015-05-01,vilmarzanchin,431,Copias,242.0
2015-05-01,vilmarzanchin,431,Indenização por Uso de Veículo Particular em Serviço,7778.6
2015-05-01,vilmarzanchin,431,Materiais Expediente,650.32
2015-05-01,vilmarzanchin,431,Outros Materiais e Serviços,159.0
2015-05-01,vilmarzanchin,431,Postagens,31.65
2015-05-01,vilmarzanchin,431,Requisições Impressos,826.9
2015-05-01,vilmarzanchin,431,Sedex,30.04
2015-05-01,vilmarzanchin,431,Telex,15.66
2015-06-01,vilmarzanchin,431,Combustível,2127.8
2015-06-01,vilmarzanchin,431,Indenização por Uso de Veículo Particular em Serviço,5446.8
2015-06-01,vilmarzanchin,431,Materiais Expediente,376.73
2015-06-01,vilmarzanchin,431,Outros Materiais e Serviços,106.6
2015-06-01,vilmarzanchin,431,Passagens Aereas,2102.36
2015-06-01,vilmarzanchin,431,Postagens,17.2
2015-06-01,vilmarzanchin,431,Publicações,62.5
2015-06-01,vilmarzanchin,431,Telefones,1536.63
2015-06-01,vilmarzanchin,431,Telex,7.83
2015-07-01,vilmarzanchin,431,Acertos de Debitos,1202.9
2015-07-01,vilmarzanchin,431,Combustível,3091.71
2015-07-01,vilmarzanchin,431,Copias,459.8
2015-07-01,vilmarzanchin,431,Indenização por Uso de Veículo Particular em Serviço,7308.68
2015-07-01,vilmarzanchin,431,Materiais Expediente,64.21
2015-07-01,vilmarzanchin,431,Passagens Aereas,1041.36
2015-07-01,vilmarzanchin,431,Postagens,1266.36
2015-07-01,vilmarzanchin,431,Publicações,244.04
2015-07-01,vilmarzanchin,431,Telefones,959.12
2015-08-01,vilmarzanchin,431,Combustível,2427.37
2015-08-01,vilmarzanchin,431,Copias,36.3
2015-08-01,vilmarzanchin,431,Indenização por Uso de Veículo Particular em Serviço,5774.32
2015-08-01,vilmarzanchin,431,Materiais Expediente,33.17
2015-08-01,vilmarzanchin,431,Outros Materiais e Serviços,78.65
2015-08-01,vilmarzanchin,431,Passagens Aereas,2282.36
2015-08-01,vilmarzanchin,431,Postagens,15575.85
2015-08-01,vilmarzanchin,431,Publicações,244.04
2015-08-01,vilmarzanchin,431,Requisições Impressos,8511.87
2015-08-01,vilmarzanchin,431,Telefones,682.1
2015-09-01,vilmarzanchin,431,Combustível,2331.24
2015-09-01,vilmarzanchin,431,Copias,242.0
2015-09-01,vilmarzanchin,431,Indenização por Uso de Veículo Particular em Serviço,5134.41
2015-09-01,vilmarzanchin,431,Materiais Expediente,18.6
2015-09-01,vilmarzanchin,431,Postagens,1899.03
2015-09-01,vilmarzanchin,431,Publicações,468.32
2015-09-01,vilmarzanchin,431,Requisições Impressos,826.9
2015-09-01,vilmarzanchin,431,Telefones,578.11
2015-09-01,vilmarzanchin,431,Telex,54.81
2015-10-01,vilmarzanchin,431,Combustível,3090.93
2015-10-01,vilmarzanchin,431,Indenização por Uso de Veículo Particular em Serviço,6950.9
2015-10-01,vilmarzanchin,431,Materiais Expediente,1011.4
2015-10-01,vilmarzanchin,431,Postagens,1342.63
2015-10-01,vilmarzanchin,431,Publicações,405.82
2015-10-01,vilmarzanchin,431,Sedex,35.22
2015-10-01,vilmarzanchin,431,Telefones,556.2
2015-10-01,vilmarzanchin,431,Telex,31.32
2015-11-01,vilmarzanchin,431,Combustível,3020.91
2015-11-01,vilmarzanchin,431,Indenização por Uso de Veículo Particular em Serviço,7451.97
2015-11-01,vilmarzanchin,431,Materiais Expediente,189.56
2015-11-01,vilmarzanchin,431,Passagens Aereas,2466.76
2015-11-01,vilmarzanchin,431,Postagens,1325.76
2015-11-01,vilmarzanchin,431,Publicações,341.28
2015-11-01,vilmarzanchin,431,Sedex,15.81
2015-11-01,vilmarzanchin,431,Telefones,46.26
2015-11-01,vilmarzanchin,431,Telex,15.66
2015-12-01,vilmarzanchin,431,Combustível,3079.15
2015-12-01,vilmarzanchin,431,Copias,48.4
