"Deputado","Diárias","Comb+Passagens","Distância","Viagens","Dias fora","Meses em exercício"
"ALVARO DAVI BOESSIO ",0,138618.16,0,0,0,35
"IBSEN VALLS PINHEIRO",0,13959.02,0,0,0,35
"MARCEL VAN HATTEM",0,37447.29,0,0,0,35
"PEDRO LUIZ FAGUNDES RUAS",1333.67,43983.72,6919.66102833233,4,3,35
"JUNIOR CARLOS PIAIA",3533.4,NA,6032.66810659025,12,0,4
"DIOGENES LUIZ BASEGIO",4355.32,NA,3261.55708189797,9,3,12
"LUCAS BELLO REDECKER",5300.01,32927.67,4875.03334691283,8,9,12
"TIAGO CHANAN SIMON",6477.86,86431.28,5475.8612990747,16,4,35
"VOLMIR JOSE MIKI BREIER",9119.16,NA,19492.8031961028,17,10,9
"ENIO EGON BERGMANN BACCI",10203.79,97273.45,8244.78430737208,15,9,35
"ADILSON TROCA",12817.2,95994.7,22950.7043819507,36,6,35
"TARCISIO JOÃO ZIMMERMANN",19814.49,71248.08,42992.0907581041,35,21,35
"MANUELA PINTO VIEIRA D\' AVILA",19935.7,86940.47,21367.8855680443,28,27,35
"JULIANA BRIZOLA",22377.89,65056.02,11094.480926093,20,33,35
"GERSON BURMANN",23157.27,30066.81,19889.009516354,25,35,9
"JUVIR COSTELLA",23555.62,65905.55,20252.1389195088,30,38,18
"GABRIEL VIEIRA DE SOUZA",25083.61,197052.48,42019.8859681282,20,22,35
"MÁRIO JARDEL ALMEIDA RIBEIRO",32428.32,NA,35935.0047623294,13,30,23
"EDUARDO DEBACCO LOUREIRO",33142.5,116864.19,58029.1120702859,49,41,35
"ALEXANDRE POSTAL",33162.57,NA,55615.1260564279,25,41,19
"EDUARDO RAFAEL VIERA OLIVERA",35098.8,54132.65,74041.8142805815,40,41,12
"MARLON ARATOR SANTOS DA ROSA",36390.15,57553.61,26078.3483623743,60,42,35
"MIRIAM PAZ GARCEZ MARRONI",39775.95,134374.87,79906.3926996084,95,17,35
"MIGUEL CONSTANTINO ROSSO BIANCHINI",43698.48,86449.35,74930.4855768863,118,20,35
"ANTONIO VALDECI OLIVEIRA DE OLIVEIRA",44114.9,106930.69,52333.9310862005,56,64,35
"JEFERSON OLIVEIRA FERNANDES",47107.72,127511.83,56860.8882563075,65,64,35
"NELSON LUIZ DA SILVA",48921.47,109868.53,59831.077736005,85,55,35
"JORGE CLADISTONE POZZOBOM",50110.99,NA,75319.2120342572,91,44,24
"ANY MACHADO ORTIZ",55680.67,112070.53,93664.3596234162,52,62,35
"JOSÉ SIDNEY NUNES DE ALMEIDA",63391.77,124654.28,108975.720660021,127,45,35
"CIRO CARLOS EMERIM SIMONI",65447.89,131636.62,153369.385521993,33,70,35
"ALTEMIR ANTONIO TORTELLI",67331.31,157242.83,108194.168058762,100,79,35
"STELA BEATRIZ FARIAS LOPES",67784.33,126288.94,110729.659097696,57,73,35
"LIZIANE BAYER DA COSTA",72549.37,135219.2,88016.9391795071,74,95,35
"JOSE ANTONIO JUNIOR FROZZA PALADINI",74247.44,129061.93,83651.2952089585,91,93,31
"JULIANO ROSO",80123.79,147216.62,82038.5394676775,92,118,35
"REGINA MARIA BECKER",80138.89,125817.37,152343.962474889,100,68,35
"ELTON ROBERTO WEBER",82669.33,130748.63,116663.539075946,158,76,35
"ADAO ROBERTO RODRIGUES VILLAVERDE",83961.54,146613.35,115197.864060398,136,80,35
"SERGIO BERGONSI TURRA",84959.76,107487.98,95996.5078126635,88,111,35
"EDSON MEURER BRUM",86239.83,129430.13,116640.827982644,105,90,35
"JOÃO OTÁVIO REINELLI",86459.72,45424.86,184130.565181679,59,88,35
"MAURICIO ALEXANDRE DZIEDRICKI",86892.29,168302.37,95769.2972247276,102,87,35
"JOAO ERVINO FISCHER",87114.86,145567.99,129619.257810896,83,84,35
"JOAO EDEGAR PRETTO",89515.7,123901.42,123045.934883838,122,115,35
"MARCELO PIRES MORAES",96606.02,128702.87,108858.562182452,209,61,35
"LUIS AUGUSTO BARCELLOS LARA",99861.13,211763.09,136791.016398647,176,106,35
"FREDERICO CANTORI ANTUNES",99871.96,192027.31,175170.425543601,104,114,35
"RONALDO SANTINI",101229.01,174660.19,109158.117183871,174,100,35
"VILMAR PERIN ZANCHIN",101460.87,131462.99,147530.373075179,148,110,35
"ZILA MARIA BREITENBACH",101754.04,105445.53,146970.664380597,117,114,35
"SERGIO PERES ALÓS",103489.35,130152.35,85979.406069727,120,128,35
"GILMAR SOSSELLA",106052.51,103126.11,117284.775378009,138,147,35
"VOLNEI DA SILVA ALVES",112460.87,167401.87,85182.0267854985,109,165,35
"GILBERTO CAPOANI",113394.98,132476.08,111034.115499374,136,163,35
"GERSON LUÍS DE BORBA",116617.85,NA,72767.5408728425,114,159,35
"SILVANA MARIA FRANCISCATTO COVATTI",117312.87,120181.21,177016.157040801,96,165,35
"ALOISIO TALSO CLASSMANN",118897.01,117488.18,117440.387294897,100,223,35
"ADOLFO JOSE BRITO",123730.45,92283.4,142171.024594383,136,188,35
"LUIZ FERNANDO MAINARDI",128740.1,155034.05,133719.184462008,139,186,35
"PEDRO OZORIO PEREIRA",143784.19,114756.71,82462.549928289,124,222,35
