"mes","solicitante","passagens","combustiveis","diarias","distancia","viagens","dias.fora","gastos.totais"
2015-02-01,"VILMAR PERIN ZANCHIN",0,1093.26,1177.79,724.021663805365,2,1,1093.26
2015-03-01,"VILMAR PERIN ZANCHIN",0,2291.28,2589.41,5101.22916965872,6,1,2291.28
2015-04-01,"VILMAR PERIN ZANCHIN",15124.77,2240.58,3628.62,4925.81442496496,5,3,17365.35
2015-05-01,"VILMAR PERIN ZANCHIN",0,2440.44,6079.43,7581.06270257706,5,7,2440.44
2015-06-01,"VILMAR PERIN ZANCHIN",2102.36,2127.8,4806.4,5067.20969227852,5,5,4230.16
2015-07-01,"VILMAR PERIN ZANCHIN",1041.36,3091.71,2355.58,1775.56966637981,4,2,4133.07
2015-08-01,"VILMAR PERIN ZANCHIN",2282.36,2427.37,3490.05,4268.46009646062,4,3,4709.73
2015-09-01,"VILMAR PERIN ZANCHIN",0,2331.24,1177.79,1610.73303288659,3,1,2331.24
2015-10-01,"VILMAR PERIN ZANCHIN",0,3090.93,2061.13,2434.33358082874,5,2,3090.93
2015-11-01,"VILMAR PERIN ZANCHIN",2466.76,3020.91,5767.68,8147.10352961509,11,6,5487.67
2015-12-01,"VILMAR PERIN ZANCHIN",3381.46,3079.15,3238.9,2150.51067652535,4,5,6460.61
2016-01-01,"VILMAR PERIN ZANCHIN",0,1873.25,0,0,0,0,1873.25
2016-02-01,"VILMAR PERIN ZANCHIN",0,2691.96,2650.02,2164.87253740697,6,3,2691.96
2016-03-01,"VILMAR PERIN ZANCHIN",1635.3,3091.71,3550.68,5203.29697634401,7,3,4727.01
2016-04-01,"VILMAR PERIN ZANCHIN",1734.1,3074.4,4139.55,4891.57304461349,5,6,4808.5
2016-05-01,"VILMAR PERIN ZANCHIN",1258.13,3082.04,3689.23,5126.33749519594,6,5,4340.17
2016-06-01,"VILMAR PERIN ZANCHIN",0,2837.74,2823.21,9226.84975851915,4,3,2837.74
2016-07-01,"VILMAR PERIN ZANCHIN",0,2689.32,2061.13,1526.25221000283,5,2,2689.32
2016-08-01,"VILMAR PERIN ZANCHIN",0,3074.87,3100.33,4732.09524068178,5,5,3074.87
2016-09-01,"VILMAR PERIN ZANCHIN",0,2187.01,0,0,0,0,2187.01
2016-10-01,"VILMAR PERIN ZANCHIN",0,3052.83,1766.67,1960.6179507048,3,3,3052.83
2016-11-01,"VILMAR PERIN ZANCHIN",0,2820.6,3862.43,7302.35748842739,4,5,2820.6
2016-12-01,"VILMAR PERIN ZANCHIN",0,2409.39,588.89,632.750362672554,1,1,2409.39
2017-01-01,"VILMAR PERIN ZANCHIN",0,2063.2,588.9,914.027630348094,2,0,2063.2
2017-02-01,"VILMAR PERIN ZANCHIN",2891.96,2860.62,2961.77,4140.31639539671,4,4,5752.58
2017-03-01,"VILMAR PERIN ZANCHIN",0,3090.99,4295.45,11847.0466684571,9,4,3090.99
2017-04-01,"VILMAR PERIN ZANCHIN",0,3080.87,2061.13,1440.27786195695,4,2,3080.87
2017-05-01,"VILMAR PERIN ZANCHIN",760.59,3087.73,3706.55,4959.63586567411,5,4,3848.32
2017-06-01,"VILMAR PERIN ZANCHIN",0,3069.49,2355.59,2499.60310089288,6,2,3069.49
2017-07-01,"VILMAR PERIN ZANCHIN",0,3088.23,2217,3754.5728830163,3,3,3088.23
2017-08-01,"VILMAR PERIN ZANCHIN",0,3071.83,10390.45,16734.9340168258,2,8,3071.83
2017-09-01,"VILMAR PERIN ZANCHIN",0,2954.62,1766.67,1705.02392302118,3,3,2954.62
2017-10-01,"VILMAR PERIN ZANCHIN",1398.03,3072.17,1628.11,4263.8350283816,3,2,4470.2
2017-11-01,"VILMAR PERIN ZANCHIN",0,3063.11,4589.88,8227.1524757285,6,6,3063.11
2017-12-01,"VILMAR PERIN ZANCHIN",0,2763.16,294.45,490.895924930328,1,0,2763.16
2015-02-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,242.98,294.45,874.518641355248,1,0,242.98
2015-03-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",2840.46,2527.55,2000.5,3621.07054207063,2,2,5368.01
2015-04-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,2387.39,1177.79,1194.08059203307,2,1,2387.39
2015-05-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",1868.36,2892.82,666.84,3821.94797080021,2,0,4761.18
2015-06-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,1958.01,883.35,1429.287819073,3,0,1958.01
2015-07-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,1700.72,1766.69,1312.6938923175,4,1,1700.72
2015-08-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",2664.72,2279.17,961.29,4278.10154003427,3,0,4943.89
2015-09-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,2286.54,294.45,461.101366621231,1,0,2286.54
2015-10-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,2114.7,1177.8,1562.09935798117,4,0,2114.7
2015-11-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",7759.69,1935.7,2372.88,3758.59220665913,3,3,9695.39
2015-12-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,1616.18,588.9,443.542412774765,2,0,1616.18
2016-01-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,1374.75,1177.78,343.319779564068,1,2,1374.75
2016-02-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,1895.61,883.35,449.655776591876,2,1,1895.61
2016-03-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3006.89,2650.03,2643.62262588949,5,3,3006.89
2016-04-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,2898.55,588.9,760.264884164176,2,0,2898.55
2016-05-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3077.01,883.35,863.843516669519,3,0,3077.01
2016-06-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3091.15,2650.03,2518.51677911454,6,2,3091.15
2016-07-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3066.8,2650.04,2281.74742282705,7,2,3066.8
2016-08-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,2748.98,1766.68,638.399070307551,3,2,2748.98
2016-09-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,1867.65,588.89,531.639637317722,1,1,1867.65
2016-10-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",6937.19,2228.2,1706.06,7635.59015125831,4,1,9165.39
2016-11-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,2406.61,11776.74,31441.2640686706,3,9,2406.61
2016-12-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,1274.17,1177.8,1803.84092492683,4,0,1274.17
2017-01-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,514.72,0,0,0,0,514.72
2017-02-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,1774.61,1550.19,4668.80692945161,5,0,1774.61
2017-03-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",4044.87,3064.97,3238.93,2508.37986035121,7,4,7109.84
2017-04-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3003.4,2511.47,5487.69364602562,7,1,3003.4
2017-05-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",4843.01,3090.96,2650.04,2198.22071152341,7,2,7933.97
2017-06-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,2768.11,2061.14,2057.21677311856,6,1,2768.11
2017-07-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3078.54,1472.24,1999.60834826356,4,1,3078.54
2017-08-01,"JOSÉ SIDNEY NUNES DE ALMEIDA",0,3090.38,1472.24,1287.01493051635,3,2,3090.38
